joa,2,5,2024/03/30 19:42
joa,4,5,2024/03/30 20:16
joa,2,3,2024/03/30 20:34
joa,3,3,2024/03/30 20:36
joa,2,4,2024/04/01 00:00
joa,1,3,2024/04/01 00:02
joa,6,6,2024/04/01 19:50
joa,2,4,2024/04/01 22:10
joa,7,10,2024/04/01 23:25
juli,3,5,2024/04/01 23:29
juli,6,10,2024/04/01 23:32
joa,5,5,2024/04/02 22:12
joa,1,3,2024/04/02 22:21
joa,4,5,2024/04/03 14:43
joa,4,5,2024/04/03 16:11
joa,3,3,2024/04/03 16:33
joa,1,4,2024/04/03 16:34
joa,2,3,2024/04/03 16:35
genaro,2,3,2024/04/04 00:07
JOEL,3,5,2024/04/04 19:54
JOEL,7,10,2024/04/04 19:55
